第一部：必要 開場白,內容
☀十年運程☀,"🔸大運破解：一次看完十年問題
 一次看完十年需要破解的重大事件"
🔸大運破解：一次看完十年問題,內容
七殺,🔺：破解20XX流年「七殺」，化解事業阻礙，化解上司挑剔針對，避免血光之災，避免意外頻頻。七殺，就是爛桃花/小情人的意思，避免遇上爛桃花爛姻緣，避免了他們假的承諾，也避免了甜言密語讓你衝動不理性不理智，盲目去付出錯愛的心，盲目地在乎錯的人。你對情人的壓迫感也會減少，情人就會順著你變得聽話，也比較不會硬要跟你吵架。
偏印,🔺：破解20XX流年「 偏印（P）」，小人為患的一年，不知是敵是友，容易被陷害，有人來幫忙結果來添麻煩，讓你更不知所措。表面好人，暗裡講你是非又針對你，也容易錯信人，最後大難臨頭各自飛。小人是暗地的，不會讓你知道他的存在，當你發現的時候，已經為時已晚。化解後，小人退散，大事化小。不小心就惹上麻煩，最後也會放過你，或是突然消聲匿跡。趕走小人要靠破解，否則越趕越靠近。
偏印（怕食神）,🔺：破解20XX流年「 偏印（P）」，化解「梟印奪食」，避免被扯後腿、斷送財根、遭陷害、身敗名裂等事件發生。偏印，就是小人的意思，化解後，小人（爛桃花/第三者）就會遠離你，少來界入你的感情關係，也少了挑釁離間你跟配偶的感情。小人（家族）也會同意你們的感情進展，對你也滿言，不再酸言酸語，多了一份接受及融入。
比肩,🔺：破解20XX年「比肩奪偏財」，避免「朋友聚會太多而花費支出過多」以及「吸引親朋好友來問你借錢投資」，這一年你會因為人情壓力、人情勒索、顧面子，而一直被強迫花錢。如果不處理，你會面臨入不敷支，甚至要借貸過生活。所以，必需要先破解比肩，否則，你會夾在朋友跟錢之間，讓你吃力不討好。
劫財,🔺：破解20XX年「劫財奪正財」，避免「穩定收入都很快被拿走」，這一年你賺的錢原本都可以存錢，或是自己吃喝玩樂，但是在這一年會有「你賺的錢都不是你的」的情況，如果不處理，你會覺得錢不夠，還很厭倦，也覺得努力沒有用，也過得吃力不討好。所以，必需要先破解劫財，否則，你破財的煩雜瑣碎事，都會比別人嚴重。
傷官,🔺：破解20XX年「傷官」，事業才能有出頭，避免人際麻煩事，化解意外事件，化解官司糾紛、減少被針對。走傷官，你容易情緒低落，想法負面，容易悲觀。突如其來的悲傷，內心對話會把自己推到盡頭或谷底，沒自信，懷疑自己，變得迷惘。這一年的心理狀況不理想，不小心就把情緒發洩出來，誤傷家人伴侶，或是得罪朋友同事。情緒起伏大，容易想哭，內心也容易激動，一不小心就顯露出來。傷官，女以官為夫，傷官就是傷害丈夫/配偶的意思，化解後，流年跟配偶感情和好，不再過度重視配偶，看配偶也比較順眼，不再想分手離婚。
傷官（怕正官）,🔺：破解20XX年「傷官見官」，避免官司訴訟、職場針對及麻煩、擋掉流年的磁場沖擊，包括負能量、意外、血災、受傷等等。官司纏身，一整年都沒辦結案，而且還會惡化。心緒不寧，容易因為自己的狀況不佳，而無意間傷害到另一半，最後另一半也受不了，選擇離開。各種突發狀況，讓你意想不到，也會讓你懷疑人生。今年，要注意生命安全，平安渡過為主，再來求好。否則，自己不好，生活也不會好。
財庫沖破,🔺：破解20XX年「財庫沖破」的危機，避免破財漏財，避免詐騙投資，增強守財能力，花小錢守大財，擋住花大筆錢財的意外狀況。
第五部：必要標題,內容
💰富貴造局,🔸心想事成：客製打造富貴人生
🔸心想事成：客製打造富貴人生,內容
上班族必備,"🔺：增加正財，穩定收入，增加歡喜心，更疼老婆、八字沒財
 🔺：增加偏財，大筆收入、業績長紅、生意興隆
 🔺：增加貴人顯助，受人疼愛、被照顧，八字無貴人
 🔺：增加名聲地位，增加說服力，八字沒有配偶星，提升正緣桃花運，增加事業發展
 🔺：增加財庫，八字無庫財來財去，增強存錢守財能力
 🔺：增加人緣、八字無花、友善態度、吸引異性緣、增加異性靠自己
 🔺：增加長生，身體健康，精神飽滿
 🔺：增加冠帶，增加人脈、廣結善緣
 🔺：增加祿神，提升賺錢速度，提升正能量，頭腦清楚懂得分辨賺錢時機，抓緊機會
 🔺：增加帝旺，做事有魄力，加強企圖心，帶來好運勢，工作快速到達高峰
 🔺：增加天乙貴人，貴人多助，發達機運"
XX方關鍵重要,XX方對自己來說很關鍵重要，尤其是剛好也遇上流年，是雙重的打擊。要保持XX方乾淨整齊，不能有雜物，定期丟棄沒在用的東西。若事態嚴重，必須要放置空亡燈。
四柱皆空,你的「空亡」問題嚴重，比起其他人，你的空亡完全覆蓋了你的命盤磁場，導致你無法「完全活成自己應詃有的運勢」，反而生活過得比較吃力。
老闆必備,"老闆必備（可多增加的能量）
 
 🔺：增加三奇貴，被貴人包圍，吸引貴人給你好處多多，開口有人來相助，做事順風順水，容易認識大人物以及富人。
 🔺：增加正財，穩定收入，穩定上升，穩定進步，八字無財（必補）
 🔺：增加偏財，賺大筆價值的收入、業績長紅、生意興隆、客人豪爽成交
 🔺：增加陽貴人明顯來相助，主動協助你、主動引薦你、客人是貴人助你一臂之力、你八字無貴人（必補）
 🔺：增加名聲地位，增加說服力，增加事業發展機遇，八字無事業運（必補）
 🔺：增強事業運，收大單，客人好說話，容易成交，部屬或下線溝通良好，聽話照做
 🔺：增加財庫，增強存錢守財能力，存款快速增加，八字無庫財來財去（必補）
 🔺：增加冠帶，增強社交能力、廣結善緣、人脈就是錢脈、轉介紹越來越多、吸引有價值的社交
 🔺：增加祿神，提升賺錢速度，增強賺錢速度，增強賺錢能力，提升正能量
 🔺：增加帝旺，做事有魄力，加強企圖心，加快達成目標，事業快速到達高峰
 🔺：增加天乙貴人， 陰貴人相助，在背後扶持你，大人物及富人會因為陰貴人而來找你，突發好消息都是來自於陰貴人的協助"
副業必備,"副業必備（可多增加的能量）
 
 🔺：增加三奇貴，被貴人包圍，吸引貴人給你好處多多，開口有人來相助，做事順風順水，容易認識大人物以及富人。
 🔺：增加正財，穩定收入，穩定上升，穩定進步，八字無財（必補）
 🔺：增加偏財，賺大筆價值的收入、業績長紅、生意興隆、客人豪爽成交
 🔺：增加陽貴人明顯來相助，主動協助你、主動引薦你、客人是貴人助你一臂之力、你八字無貴人（必補）
 🔺：增加名聲地位，增加說服力，增加事業發展機遇，八字無事業運（必補）
 🔺：增強事業運，收大單，客人好說話，容易成交，部屬或下線溝通良好，聽話照做
 🔺：增加財庫，增強存錢守財能力，存款快速增加，八字無庫財來財去（必補）
 🔺：增加冠帶，增強社交能力、廣結善緣、人脈就是錢脈、轉介紹越來越多、吸引有價值的社交
 🔺：增加祿神，提升賺錢速度，增強賺錢速度，增強賺錢能力，提升正能量
 🔺：增加帝旺，做事有魄力，加強企圖心，加快達成目標，事業快速到達高峰
 🔺：增加天乙貴人， 陰貴人相助，在背後扶持你，大人物及富人會因為陰貴人而來找你，突發好消息都是來自於陰貴人的協助"
業務必備,"業務必備（可多增加的能量）
 
 🔺：增加三奇貴，被貴人包圍，吸引貴人給你好處多多，開口有人來相助，做事順風順水，容易認識大人物以及富人。
 🔺：增加正財，穩定收入，穩定上升，穩定進步，八字無財（必補）
 🔺：增加偏財，賺大筆價值的收入、業績長紅、生意興隆、客人豪爽成交
 🔺：增加陽貴人明顯來相助，主動協助你、主動引薦你、客人是貴人助你一臂之力、你八字無貴人（必補）
 🔺：增加名聲地位，增加說服力，增加事業發展機遇，八字無事業運（必補）
 🔺：增強事業運，收大單，客人好說話，容易成交，部屬或下線溝通良好，聽話照做
 🔺：增加財庫，增強存錢守財能力，存款快速增加，八字無庫財來財去（必補）
 🔺：增加冠帶，增強社交能力、廣結善緣、人脈就是錢脈、轉介紹越來越多、吸引有價值的社交
 🔺：增加祿神，提升賺錢速度，增強賺錢速度，增強賺錢能力，提升正能量
 🔺：增加帝旺，做事有魄力，加強企圖心，加快達成目標，事業快速到達高峰
 🔺：增加天乙貴人， 陰貴人相助，在背後扶持你，大人物及富人會因為陰貴人而來找你，突發好消息都是來自於陰貴人的協助"
桃花必備,"催旺桃花必備（可多增加的能量）
 
 🔺：提升正緣桃花運（遇見好情人），增加戀愛運（懂得談戀愛），八字沒有配偶緣（必補）
 🔺：增加人緣、友善態度、吸引異性緣、增加異性靠自己、八字無花（必補）
 🔺：增強合局感情穩定性、增強跟伴侶的情感維繫、伴侶更投入經營愛情、伴侶更重視你"
夫妻必備（婚姻對戒）,"夫妻必備（婚姻對戒）
 
 🔺：老公必備「更疼愛老婆、重視老婆、穩定婚姻、穩定生活、願意投放錢財及資源在老婆身上。老婆就是自己的錢財根，只要好好疼惜，錢才會越賺越多。」的能量
 
 🔺：老婆必備「老公多疼愛自己，老公多照顧自己，願意聽老婆的話，順從老婆，自彼此包容尊重。老公就是自己的地位，只要好好的尊重，出外有面子，自帶自信魅力，說話有人聽，信服於你。」的能量"
第六部：必要標題,內容
☯︎ 風水怖置,🔸加強/補救：風水造局錦上添花
🔸加強/補救：風水造局錦上添花,內容
流年事業空亡,2024-2025流年有空亡， 負面想法多、得不到貴人、思緒混亂 —— 安在XX方，破安亡，化解事業瓶頸，增加職場貴人，提升自信心，提升正能量，在事業上更有方向感。
流年夫妻空亡,2024-2025流年有空亡， 負面想法多、思緒混亂 —— 安在XX方，破安亡，化解婚姻瓶頸，提升自信心，提升正能量，在婚姻上更有安全感。
流年內心空亡,2024-2025 流年有空亡，負面想法多、思緒混亂、自我懷疑 —— 安在XX方，破安亡，化解負面情緒，頭腦清晰，化解生活瓶頸，提升做事堅毅，提升自信心，提升正能量，更有方向感。
流年情侶空亡,2024-2025 流年有空亡， 愛情直接陣亡 —— 安在XX方，破安亡，化解愛情的沖擊，提升對愛情的信任，提升正能量，在感情上更有安全感。
命盤夫妻宮空亡,八字有空亡，感情上缺乏安全感，無能為力 —— 安在XX方，破安亡，化解婚姻瓶頸，提升自信心，提升正能量，在婚姻上更有安全感。
命盤事業空亡,八字有空亡，工作都遇不到貴人，對前途有想法沒動力，做甚麼都容易失敗 —— 安在XX方，破安亡，化解事業瓶頸，增加職場貴人，提升自信心，提升正能量，在事業上更有方向感。
命盤年柱空亡,八字有空亡，拒絕不了父母及長輩的請求 —— 安在XX方，破安亡，化解家庭的束縛，增加自由，提升自信心，提升正能量，在家庭上更有地位。
命盤內心空亡,八字有空亡，內心缺乏自信心 —— 安在XX方，破安亡，化解負面情緒，頭腦清晰，化解生活瓶頸，提升做事堅毅，提升自信心，提升正能量，更有方向感。
無法造祿神,你的命盤無法造祿神（特例）：風水造元辰祿神方，安在XX方，頭腦清晰，提升精氣神，貴人相助，提升決策力，招福祿（有財有庫），人脈交際，招子祿，招食祿（健康/物質）等。
無法造帝旺,你的命盤無法造帝旺（特例）：風水造帝旺方，安在XX方，招職場商機，招事業機遇，招貴人提拔，付出有回報，不做白工，職場被欣賞，工作很快就上高峰。
製造祿神,製造祿神：風水造元辰祿神方，安在XX方，頭腦清晰，提升精氣神，貴人相助，提升決策力，招福祿（有財有庫），人脈交際，招子祿，招食祿（健康/物質）等。
製造帝旺,製造祿神：風水造帝旺方，安在XX方，招職場商機，招事業機遇，招貴人提拔，付出有回報，不做白工，職場被欣賞，工作很快就上高峰。
製造本命桃花方位（夫妻）,桃花燈，怖局桃花方位：桃花燈安在XX方，婚姻美滿，重視雙方感受，尊重包容彼此，和睦相處，恩愛幸福，更投入付出維繫婚姻
製造本命桃花方位（情侶）,桃花燈，怖局桃花方位：桃花燈安在XX方，感情順利，穩定交往，甜蜜浪漫，熱情接觸，更投入付出維繫感情
製造本命桃花方位（單身）,桃花燈，怖局桃花方位：桃花燈安在XX方，正緣相見，脫單成功，加速確認情侶關係，曖昧激情
增強客緣,桃花燈，怖局桃花方位：桃花燈安在XX方，提升客源，穩定客源，增強客緣忠誠度，轉介紹增加，客人主動溝通
增強事業,官祿燈，怖局官祿方位：官祿燈安在XX方，穩定事業，作業順利，升遷加薪機率上升，提升職場能力，增強職場機遇
增強財運,財運燈，怖局財運方位：財運燈安在XX方，穩定財源，賺錢順利，增強賺錢能力，接收賺錢靈感，吸引客人
