緣份,內容
你們會以對方為優先,在你們的關係中，你們會以對方為優先，會排在家人跟朋友之前，所以，你們是真的在乎彼此的感受、想法、意見，你們盡可能滿足對方。所以，看起來很棒，但是，卻會存在一個問題，就是，你們容易把需求悶在心裡，不敢表達，最終錯過了表達的機會，造成誤會。你們沒有主見的時候，反而會更看重對方的感受，常常「以為對方不要了」，長久下來，各種胡思亂想，都會侵蝕你們的愛。
你們無所謂,在你們的關係中，你們都會有「無所謂」的態度，誰比較有主見就聽誰說，有時候家人朋友比較有意見或要求時，就會跟著他們的要求去做，所以，會忽略到對方的感受，覺得沒有被重視。長久下來，會覺得對方沒把自己說的話放在心上，會心裡委屈跟難受。所以，你們彼此都沒有把對方放在考量當中，會很容易產生誤會或吵架，造成誤解，其實都是「不被重視、委屈、受不了」。
他無所謂,而他，都會有「無所謂」的態度，誰比較有主見就聽誰說，有時候家人朋友比較有意見或要求時，他就會跟著他們的要求去做，所以，他會忽略到你的感受，你覺得沒有被重視。長久下來，你會覺得他沒把自己說的話放在心上，你會心裡委屈跟難受。所以，你們彼此都沒有把對方放在考量當中，會很容易產生誤會或吵架，造成誤解，其實都是「不被重視、委屈、受不了」。
你無所謂,而你，都會有「無所謂」的態度，誰比較有主見就聽誰說，有時候家人朋友比較有意見或要求時，你就會跟著他們的要求去做，所以，你會忽略到他的感受，他覺得沒有被重視。長久下來，他會覺得你沒把自己說的話放在心上，他會心裡委屈跟難受。所以，你們彼此都沒有把對方放在考量當中，會很容易產生誤會或吵架，造成誤解，其實都是「不被重視、委屈、受不了」。
分手你們家人,在你們的關係中，你們會以家人為優先，意思就是說你們做的決定，都是以家人的意見為考量，如果，他家人在你背後表示不喜歡你，或是對你有微言，他也有很大機會果斷不要你，或是默默對你冷漠。如果，他的新對象比較討他家人歡心，也很大機會，你地位不保，復合更難。所以，要復合請先討好他家人，你的地位才會提升，他家人幫你說話，他也會比較聽得進去。
交往他家人,在你們的關係中，他會顯得比較重視家人，會以家人的意見為優先考量，再去做決定。然後，他把你放在他的家人之後，所以，事事會先聽家人的話，才再考慮你的感受。如果，他家人在你背後表示不喜歡你，或是對你有微言，他也有很大機會果斷不要你，或是默默對你冷漠。如果，他的新對象比較討他家人歡心，也很大機會，你地位不保。所以，要復合請先討好他家人，你的地位才會提升，他家人幫你說話，他也會比較聽得進去。
小三他家人,在你們的關係中，他會以家人為優先，意思就是說他做的決定，都是以家人的意見為考量，如果，他的家人是比較喜歡原配，始終會離開小三，因為家人的肯定是非常重要，即使自己已經不喜歡原配，也會非常重視家人的認同。也就是說，他也沒有到太喜歡到要為了小三而反抗家人。
你家人,在你們的關係中，你會顯得比較重視家人，以家人為優先考量，意思就是你會先想再到家人的意見或需求，再去做決定。所以，你們之間可能也存在著，你不重視他的問題，他的感受可能因此而有所失望。也有可能是，你們也沒有共識，他也無可奈何，不知道怎麼處理。
你們工作,在你們的關係中，你們會以工作為優先，意思就是說你們做的決定，都是以工作的安排為考量，所以互相容易卡在事業跟愛情兩邊選擇，當一方有空想顧及感情時，另一方就會投入工作，所以常常會因為工作而忽略對方的感情需求，長期下來，容易會因為冷淡而分開。
你工作,"在你們的關係中，你會顯得以工作為優先，意思就是說你們做的決定，都是以工作的安排為考量，所以互相容易卡在事業跟愛情兩邊選擇，當一方有空想顧及感情時，另一方就會投入工作，所以常常會因為工作而忽略對方的感情需求，長期下來，容易會因為冷淡而分開。
 
 所以，你們之間可能也存在著，你不重視他的問題，他的感受可能因此而有所失望。也有可能是，你們也沒有共識，他也無可奈何，不知道怎麼處理。"
他工作,在你們的關係中，他會顯得以工作為優先，意思就是說他做的決定，都是以工作的安排為考量，所以互相容易卡在事業跟愛情兩邊選擇，當一方有空想顧及感情時，另一方就會投入工作，所以常常會因為工作而忽略對方的感情需求，長期下來，容易會因為冷淡而分開。
你們朋友,在你們的關係中，你們會重視朋友，所以你們也會只聽朋友的意見，也不見得會聽對方的建議，所以，平常就有會，雙方沒把對方放在眼內，或不跟對方商量的自把自為的情況出現。
他愛自己,在你們的關係中，他會顯得比較愛自己，以自己為優先考量，意思就是他會先想再到自己的需求，再去做決定。而你，則是事事以他為優先，所以，你都比較遷就他，聽他的意見，他提出的想法，你都會接受，或跟著做。久而久之，你的在愛情的地位權力會不平衡，事事都是他作主，會有沒有尊重你的狀況，及忽略你的需求。
他愛自己又重朋友,在你們的關係中，他會顯得比較愛自己，以自己為優先考量，意思就是他會先想再到自己的需求，再去做決定。然後，他重視朋友，所以他也會只聽朋友的意見，也不見得會聽你的建議，所以，平常就有會，他沒把你放在眼內，或不跟你商量的自把自為的情況出現。
你愛自己,在你們的關係中，你會顯得比較愛自己，以自己為優先考量，意思就是你會先想再到自己的需求，再去做決定。所以，你們之間可能也存在著，你不重視他的問題，他的感受可能因此而有所失望。也有可能是，你們也沒有共識，他也無可奈何，不知道怎麼處理。
你們愛自己,"在你們的關係中，你們會顯得比較愛自己，以自己為優先考量，意思就是你們會先想再到自己的需求，再去做決定。你們都是顧自己的感情及處境，忽略了彼此的需求及情緒，簡單來說就是眼中也沒有對方，只想要自己的想要的。所以，你們之間可能也存在著，你們不重視彼此的問題，你們的感受可能因此而有所失望。也有可能是，你們也沒有共識，雙方也無可奈何，不知道怎麼處理。
 
 所以，你們彼此都沒有把對方放在考量當中，會很容易產生誤會或吵架，造成誤解，不重視對方的問題。"
各有重視,"在你們的關係裡，你會先以他作考量因素，意思就是說你做的決定，都是家人及他的感受去衡量。而他，則是會先以自己的感受為優先考量。做決定前，都是先看自己想不想做，而不是考慮你喜不喜歡。所以，你們之間可能也存在著，你們不重視彼此的問題，你們的感受可能因此而有所失望。也有可能是，你們也沒有共識，雙方也無可奈何，不知道怎麼處理。
 
 所以，你們彼此都沒有把對方放在考量當中，會很容易產生誤會或吵架，造成誤解，不重視對方的問題。"
合盤,內容
你單一,你對伴侶的要求也比較簡單，代表你少有要求伴侶，能遇上就會喜歡。但是，也是代表著，你看對方身上的缺點會比較多，會較不包容對方的做法及想法。
非君不嫁,在合盤看來，其實你也沒有對他有「非君不嫁」的感覺，只是在想要戀愛時，剛好遇上他，愛情的火花很快就熄滅。
分手認定他,在合盤看來，你有一種認定他的念頭，你很喜歡他，而且是不能自拔的地步，要你放棄他，找下一個，可能也需要一段時間去釋懷。難得遇上一個這麼喜歡的人，不想就此放手。我相信你，還是想拚一次，至少再努力一次。
交往正緣,在合盤看來，我知道你很喜歡他，但是如果，你不懂得用對方法跟他相處，不懂得讓他開心、也不懂滿足他的心靈需求，即使他再喜歡你，也會因為長期的不愉快，而果斷放棄你！不要以為正緣，就是一輩子！
他懂得欣賞你的特質,在合盤看來，他懂得欣賞你的特質，就算在一起後，他也會比較能包容及接受你，也是代表著，即使面臨情關，他也會比較願意跟你一起渡過，比較不容易放棄，能不能走到終點站，就看你們的福報了。他跟你非常有緣份，更需要做《雙人牽線療癒》讓他更清醒，更快發現你是他的正緣，成功率都很高！只看你對他的愛堅不堅定。
你對價值觀,在合盤看來，你對感情的價值觀，比較像是他的想法。所以，你們聊天會對上頻率，「對對對，我也這是這麼覺得。」「我也是這樣想」。所以，你們深入聊天時，特別能講出自己的感受或想法。這種合盤，就是一拍即合，走好運時，運勢推你一把，很快就會擦出火花走在一起了。
介意他的缺點,在合盤看來，你會介意他的缺點，深入相處後，會開始對他的缺點不耐煩，自己對他的喜歡感會被缺點磨光。如果遇到不愉快的事情或吵架，就會顯得不耐煩，特別容易不想跟他在一起。
他對價值觀,在合盤看來，他對感情的價值觀，比較像是你的想法。所以，你們聊天會對上頻率，「對對對，我也這是這麼覺得。」「我也是這樣想」。所以，你們深入聊天時，特別能講出自己的感受或想法。這種合盤，就是一拍即合，走好運時，運勢推你一把，很快就會擦出火花走在一起了。
介意你的缺點,在合盤看來，他會介意你的缺點，交往後，會開始對你的缺點不耐煩，自己對你的喜歡感會被缺點磨光，吵架時，會顯得不耐煩，特別容易不想跟你在一起。
你們價值觀,在合盤看來，你們對感情的價值觀，比較像是彼此的想法。所以，你們聊天會對上頻率，「對對對，我也這是這麼覺得。」「我也是這樣想」。所以，你們深入聊天時，特別能講出自己的感受或想法。這種合盤，就是一拍即合，走好運時，運勢推你一把，很快就會擦出火花走在一起了。
你們單一,你們對伴侶的要求也比較簡單，代表你們少有要求伴侶，能遇上就會喜歡。但是，也是代表著，你看對方身上的缺點會比較多，會較不包容對方的做法及想法。
他單一,他擇偶條件也比較簡單，代表他少有要求伴侶，能遇上就會喜歡。但是，也是代表著，他看你身上的缺點會比較多，會較不包容對方的做法及想法。
他也不一定只要你,所以，他也不一定只要你，他還有其他更適合他條件的情人，所以，每次你跟他發生不愉快的對話時，他都會更肯定「你是不適合做他情侶」「你不是他想要的情人」的想法，所以不要以為無理取鬧或過度控制，就以為威脅他更愛你，其實是反效果。只會讓他更確定分開是最明智的抉擇，跟你交往才是最痛苦的悲劇。
只有責任跟習慣,在合盤看來，他想要的你卻沒辦法給予他，很多時候他有提出，但是不見得你聽得進去，最後也沒辦法滿足他。所以，他整個人就沒有繼續走下去的動力，覺得未來沒希望，對愛情沒有期盼。久而久之，留下來的都只有責任跟習慣，並不是愛情。一段關係，都是從愛情 升華 到 感情。但是，你們目前就是只有「習慣」綁住你們。
逢場作興,在合盤看來，他其實也不是真的喜歡你，只是「人」來了，加減逢場作興一下，很快就會找到下一個喜歡的人，或是熱情過後（玩膩了）就對你冷淡，不疼惜你。
曖昧不夠緣份,在合盤看來，你們之間比較沒有緣份，代表他也喜歡你，但是喜歡也不一定會馬上就提出交往，因為他生性喜歡曖昧，遇上了也不會定性，還沒玩夠，以為再找就再有。這也是我們常常聽到的「對的人，錯的時間」。
不會放棄新情人,在合盤看來，你們之間比較沒有緣份，代表他也喜歡你，但是不至於為了跟你復合而放棄新情人，畢竟對新情人的熱戀期新鮮感，還是會讓他有所期待。
曖昧正緣年,在合盤看來，你們之間比較沒有緣份，但是他其實喜歡你，但是喜歡也不一定會馬上就提出交往，因為他正在走正緣年，他還在選擇他喜歡的情人，或是正在跟其他人曖昧，或是留戀心中那一位最愛。
十神,內容
正官-他欣賞,他欣賞你很有分寸，妥善處理，跟你相處也表現得有規律守規矩，是個理智的人，對於他的事凡事不馬虎，也講求信用，讓他有安全感，你是個值得信任的人。跟你生活的話，你會打理得有條理，對事也有責任感。他欣賞你的自律，事業上有執行力，有企圖心，也能專注事業，做人安守本份，不背道而馳。他也很喜歡你的愛屋及屋的態度，對他來說，你是他優秀的賢內助，也是不會讓他操心的最佳伴侶。
正官-他希望,他希望你對事業會有一番見解，穩定發展更好，能更自律一些更好，也希望你在事業上多點執行力，多點企圖心往上爬，能專注事業，更安守本份更好。他也希望你做人多一點擔當，也希望你多一點負責感，不要馬虎做事。為人也要有原則，不要善變。他希望你安安份份做好自己的事情，不要任何事都問他吵他，他會很沒耐煩。
正官-但是你,但是，你有時候會愛面子，太過重視地位或事業心重，太有自己的原則或規距，一板一眼，不太變通，寧願選擇穩定安全的方向去走，所以也會有優柔寡斷的一面。同時，你的責任感過於強烈，而把伴侶看得太重要，忽略了愛情的空間，讓他喘不過氣，更害怕跟你生活在一起。
正官-你欣賞,你欣賞他為人正直，做事有規律守規矩，你們可以理性溝通，對你的事情也都不馬虎，對你也很講求信用，生活有條理，對這段感情或你也比較有責任心。他對事業有自己的見解，認為要有穩定工作是重要跟理想的，要有穩定工作，每個月都安定。他給你一種安穩的安全感，你期待著給你該有的滿足，也喜歡他是一個有擔當的人。
正官-你希望,你希望他處理事情更有條理，對你對這段感情多一些責任感，事業多點企圖心，積極去爭取更多回來，也希望他對你多一些愛你的行動，積極實現你們之間的口頭承諾。對事業有見解是非常吸引你，他的事業能夠穩定發展更好，能更自律一些更好，也希望他在事業上多點執行力，多點企圖心往上爬，多專注事業，安守本份更好。同時，你希望他把重心放在你身上，表現得更愛你多一些。
正官-但是他,但是，他有時候會愛面子，太過重視地位或事業心重，太有自己的原則或規距，不太變通，寧願選擇穩定安全的方向去走，所以也會有優柔寡斷的一面。
七殺-他欣賞,他欣賞你是個有責任感的人，會盡責完成去完成，對工作上的事情特別很有責任感，同事或上司有求於你，你會盡力去完成。對事情有衝勁，爭強好勝，勇敢果斷，智略明敏，也具有主導的魅力。不輕易妥協認輸，有勇氣承擔責任，喜歡去改革創新，爭取自己的權益，說到做到。同時，他喜歡你你能給他更多激情的舉動，帶點狂野，床上的霸道他最愛。
七殺-他希望,他希望你能夠更有衝勁一些，想做就去做，果斷更好，做人要有責任心，一句不要就不要沒交帶，事業上要更有野心，更有力量，更有上進心。他也希望你能給他更多激情的舉動，帶點狂野沒關係，越刺激越好，他的情慾喜歡新鮮又帶有曖昧，床上的霸道他最愛。但是，如果你沒辦法滿足他的情慾，他容易一時的衝動，而出軌外遇，他控制不了誘惑。因為對他來說，你很無聊，外面的花花世界能激起他慾望。
七殺-但是你,但是，你卻常常讓他有壓迫感，做事比較衝動，也不服輸，競爭意識強烈，一旦對現狀不滿，就會希望一下子使情況好轉起來訴諸行動，所以你做事變動會很大，也很在乎面子，讓他不知道你這樣做到底對不對。你也常常導致情緒的喜怒無常，陰晴不定。尤其是，你好勝心強，有時候，會常常要吵贏而變得很暴躁，生氣他是想要他聽你的，但是對他來說，很有壓迫感，會不敢跟你分享，或是不敢跟你有再多的互動。
七殺-你欣賞,你喜歡他為人個性獨立，志得意滿，自尊心強，對事業有企圖心，有野心，有威嚴，做事有衝勁，直爽，對事業會有一番見解，覺得想做就去做，不需要顧慮太多。同時，他能給你更多激情的舉動，帶點狂野，他給你山盟海誓，說到做到，你渴望成為他的唯一，有些事情只允許對你做過。
七殺-你希望,你希望他在生活上能夠更有衝勁一些，想做就去做，果斷更好，對你的事情更有責任心，不能一句不要就不要沒交帶。你希望他在事業上表現得更有野心及企圖心。也希望他能給你更多激情的舉動，帶點狂野沒關係，也希望他給你山盟海誓，要說到做到，只有你是唯一。只對你做過。
七殺-但是他,但是，他卻顯得對你喜歡發號施令，讓你有壓迫感，做事比較衝動，也不服輸，競爭意識強烈，一旦對現狀不滿，就會希望一下子使情況好轉起來訴諸行動，所以他做事變動會很大，也很在乎面子，讓你不知道你這樣做到底對不對。他也不喜歡聽令於人，所以常常導致情緒的喜怒無常，陰晴不定。尤其是，他好勝心強，所以比較不能忍受失敗的打擊。他的自大，讓你喘不過氣，有想逃脫的感覺。
正印-他欣賞,他欣賞你有一種對家庭責任感很強的感覺，是個賢妻良母的感覺。而且，他欣賞你對他温柔體貼，而且寬容有耐心，待人友善，就算有爭執也不會耿耿於懷太久，你會盡可能滿足你的想法，包容跟你不一樣的價值觀。你會細心地照顧他，跟你在一起會感到被照顧的感覺，他也喜歡依賴你。他渴望精神交流，你都能滿足他。
正印-他希望,他希望你對他能夠表現得更寬容一些，處理爭執可以再圓融一些，平常更温柔體貼多一些，對於他的錯誤再多一些耐心，吵架時可以原諒自己。他也會同樣期望你懂得照顧他，成為能讓他依靠而又值得信任的人。他希望你能在生活上多顧及他的情緒，照顧他的需求，他的內心很渴望被關心。雖然在你看來他很不獨立，或是不想自己做他媽媽，但他確實是喜歡這種很有母愛又照顧他的愛人。
正印-但是你,但是，你過於保守容易產生依賴心，也容易養成怠慢的習慣，想法也比較脫離現實，想法也很固執，不切實際。讓他覺得你根本活在自己的世界裡，你什麼都不說就以為他懂，他對這方面很厭煩厭倦。如果有重大的決定，你很需要聽別人的意見，所以你會習慣被人照顧，會讓他覺得你是一個負擔，或是任何事都要做你的腦，還要幫你打點一切，他會麻煩、累、不耐煩，好想擺脫你這個巨嬰。
正印-你欣賞,你欣賞他對你温柔體貼，寬容友善，即使吵架也不會耿耿於懷太久，但是，他比較重視精神上的滿足，他會觀察你的價值觀是不是跟他一致。他細心照顧你，在一起會感到被照顧的感覺。你喜歡被他照顧，他也確實做到細心關心你的一面，你享受被他寵著，而他也很有耐心地跟你相處，就算你有時候比較任性一些，他也能夠做到陪伴。如果，你們目前是少聚在一起的話，你會很容易缺乏安全感！如果你繼續被動式原地踏步，你只會被自己的不安摧毀了這段感情。
正印-你希望,你希望他對你更寬容，處理爭執可以更圓融一些，對你的態度更温柔體貼，花多點耐心在你身上，吵架時可以趕快原諒自己。你也會同樣期望他懂得照顧你，成為能讓你依靠而又值得信任的人。你希望他能夠常常陪伴你，能讓你更依賴他，這就是你想要的安全感。也希望他在任何時候都是以你為先、以你為重，把你寵到心坎去。
正印-但是他,但是，他過於保守容易產生依賴心，也容易養成怠慢的習慣，想法也比較脫離現實，想法也很固執，不切實際。讓你覺得他根本活在自己的世界裡，他什麼都不說就以為你懂，你對這方面很厭煩厭倦。如果有重大的決定，他很需要聽別人的意見，所以他會習慣被人照顧。在你看來就是依賴心太強，比較沒主見，或是他只是耍任性，只想你慣著他，他就可以為所欲為。
P -他欣賞,他欣賞你的態度及表現，你會比較有見解，點子多，你也會對他有心思細膩的一面，他欣賞你有自己獨特的興趣。他欣賞你的想法和見解，也敢於分享及表達，總能讓他覺得新奇有趣，他能接受你的想法，也喜歡聽你的表達。他喜歡聽著你的故事，讓他覺得你是一個很特別的情人。你的坦誠相待，也讓他感到安全感。
P -他希望,他希望你能夠多忍耐情緒，不要發洩在他身上，更懂得察言觀色他的變化，也要懂得看他的臉色，能理解他的需求更好，坦言相對是必要的安全感。他也希望你能夠帶著好奇心去體驗生活，常有獨特的想法讓他驚喜更好，你也需要多發掘比較冷門的興趣跟話題，盡可能引起他的目光。
P -但是你,但是，你卻是警戒心強，不容易說出真心說話，慣於壓抑感情，喜怒哀樂不形於色。你對感情思緒過度，下定決心後又三心二意，猶豫不決，比較欠缺耐心。心裡只想著把事情盡快處理好，卻往往忽略了其他關鍵因素。同時，你對感情也比較多疑猜忌，會為無聊的事情自尋煩惱，有時候意見不合，就搞自閉。你也會鑽牛角尖，容易自相矛盾且固執和偏激，與他溝通困難，他根本不知道你想要什麼。
P -你欣賞,你欣賞他對你的表現，他會比較有見解，點子多，他對你也比較心思細膩，他對你的坦誠相待，也讓你感到有安全感，同時，他會有自己喜歡研究的興趣。但是他警戒心強，不容易說出真心說話，慣於壓抑感情，喜怒哀樂不形於色。
P -你希望,你希望他能夠多忍耐情緒，不要發洩在你身上，更懂得察言觀色你的變化，也要懂得看你的臉色，能理解你的需求更好，坦言相對是必要的安全感。你也希望他能夠帶著好奇心去體驗生活，常有獨特的想法讓你驚喜更好，他也需要多發掘比較冷門的興趣跟話題，盡可能引起你的目光。
P -但是他,但是，他卻是警戒心強，不容易說出真心說話，慣於壓抑感情，喜怒哀樂不形於色。他對感情思緒過度，下定決心後又三心二意，猶豫不決，比較欠缺耐心。心裡只想著把事情盡快處理好，卻往往忽略了其他關鍵因素。同時，他對感情容易自相矛盾且固執和偏激，與你溝通困難，根本不知道他想要的是什麼。他提出的想法與觀點，都會讓你不舒服，明明是歪理都被他講得好像合理，你每次跟他理性溝通，他都會反駁你，硬要掰成是正確的。其實，他的三觀，都好像很有問題，讓你不敢恭維。
比肩 -他欣賞,他喜歡你是個我行我素的人，做事貫徹初衷，意志堅強，自尊心強，不服輸，凡事都以自己的想法或價值觀為標準加以判斷，你也非常暸解自己，對生活充滿自信，也會堅持自己的立場。雖然你以上的特質都比較強烈或帶點極端，但是他也是可以包容及接受的。他也喜歡跟你像朋友一樣的相處，他喜歡跟你一唱一和，是他覺得最理想的模式，也喜歡跟你一起做很多事情，也喜歡你能融入朋友群裡。可以的話，希望你能在聚會裡，偷偷有肢體上的曖昧，他會很有興趣，也享受這樣的曖昧。
比肩 -他希望,他希望你能跟他一樣，做事貫徹初衷，意志堅強，不服輸，凡事都以自己的想法或價值觀為標準加以判斷，希望你能暸解自己，對生活多一份自信，也希望你能堅持自己的立場。希望你能一起參與跟朋友的聚會，但是你要有能被他帶出門的價值，否則他覺得帶你見朋友沒面子時，就會拒絕一起出席應酬或飯局。希望你能多給他面子，在朋友面前要多稱讚他，覺得他很厲害。他很需要你的耐心，也需要彼此都有很好的互動。
比肩 -但是你,但是，有時候，你卻顯得我行我素，常常以自我為中心，也無法以他的立場考慮事情。而且你都有非黑即白的觀念想法，為了無謂的面子而堅持己見，所以容易跟他發生衝突。
比肩 -你欣賞,你喜歡他是個我行我素的人，做事貫徹初衷，意志堅強，凡事都以自己的想法或價值觀為標準加以判斷，他也非常暸解自己，對生活充滿自信，也會堅持自己的立場。雖然他以上的特質都比較強烈或帶點極端，但是你也是可以包容及接受的。你會察覺到他看起來很開朗，但是內心是孤獨。你也喜歡跟他像朋友一樣的相處，而且你對他越相處，越有日久生情的情愫。你喜歡跟他同聲同氣，像朋友的相處，也喜歡跟他一起做很多事情，也喜歡他能融入朋友群裡。
比肩 -你希望,你希望他能夠跟你像朋友一樣的相處，去哪都能帶上你，出門也不太介意認識彼此的朋友，你會希望他的朋友也能成為你的朋友，彼此融入生活圈子，你喜歡他能夠跟你一起創造生活回憶的事情。你希望他在朋友面前，能多稱美你多一些，希望他可以一起參與各種聚會，有他的陪伴會更有安全感。你很需要你的耐心，也需要彼此都有很好的互動。
比肩 -但是他,但是，有時候，他卻顯得我行我素，常常以自我為中心，也無法以對方的立場考慮事情。而且他非黑即白的觀念想法，也容易與你發生衝突。他常以朋人家人為先，忽略了你的感受，他寧願跟他們在一起，也不願意多花心思二人世界，讓你覺得跟他的距離跟感情都無法更更一步。
劫財 -他欣賞,他欣賞你隱藏在內心的企圖心，一股不服輸的野心，非常吸引人你。他欣賞你看起來總是能讓他有慾望，也能掀起他的衝動，對他來說你是有某種魅力的，但這個魅力不是長久的，而是，如果你常常做出拒絕他，或是讓他生氣的事情，他對你的興趣會大減，最後他會完全對你沒有慾望，冷淡對待你。
劫財 -他希望,他希望你能夠多一點企圖心，也多一點野心，應變能力強一些更好，能迅速地完成目標會更好。而且，要懂得為自己爭取，不要面對困難就馬上放棄或抱有失敗的想法。你越有價值或越漂亮，他就會回頭來多看你一眼，甚至如果你有人追求，他會更積極地關心你。對他來說，如果你是一件寶藏，他會珍惜你；相反，如果你只是件平凡的東西，他不會把你留在身邊。
劫財 -但是你,但是，你會看起來像憂鬱，嫉妒心很強，所以你有時候不見得很緊張他，只是因為害怕失去他，他會認為你嫉妒心強，神經質，容易不認輸，愛鬥氣。所以，會處處小心著自己的行為，害怕觸發到你內心的底線。長期下來，他容易受不住你的強烈的反應，尤其是嫉妒心強，也讓他每次面對你時都很緊繃，害怕做錯事，到最後就會想逃脫。
劫財 -你欣賞,你欣賞他隱藏在內心的企圖心，一股不服輸的野心，非常吸引人你。但是，他會看起來像憂鬱，嫉妒心很強，所以他有時候不見得很緊張你，只是因為害怕失去你，你會認為他嫉妒心強，神經質，愛鬥氣。所以，你會處處小心著自己的行為，害怕觸發到他內心的底線。同時，如果跟他冷戰，會讓你很折磨及疲憊，也會有熱臉貼冷屁股的不安感。他其實在感情上不輕易信任人，自我保護強烈，才會佔有欲望強烈，往往會表現出強勢的一面。
劫財 -你希望,你希望他對你表現多一點佔有慾，盡可能表現內心的慾望讓你知道，處理感情關係需要更強的應變能力，迅速地解決當下的問題會讓你更安心。你也希望他帶你出席社交場合，同時也要注重形象及多打扮自己。如果，他對你有更多的情慾會更好，希望他在床上的表現能更出色，能更讓你歡愉。
劫財 -但是他,但是，他會看起來像憂鬱，嫉妒心很強，所以他有時候不見得很緊張你，只是因為害怕失去你，你會認為他嫉妒心強，神經質，容易不認輸，愛鬥氣。所以，會處處小心著自己的行為，害怕觸發到他內心的底線。
食神 -他欣賞,他欣賞你性格温和，不輕易與人起衝突，他跟你在一起都很快樂，你跟他相處不會自以為是。他喜歡你總是給他浪漫而又充滿幻想的愛情，你的心思細膩會讓他感動，你重視跟他的生活情趣，充滿活力。他喜歡你會帶他吃吃喝喝，也會製造浪漫氛圍，他很吃儀式感這一套，對於你的用心，他會感動。而且，天性樂觀豁達，對於變動的事情總是能夠找到好的應對方法，即使在困難中也能隨遇而安。
食神 -他希望,他希望你帶著你享受生活，更懂得生活情趣的互動，對他的態度更樂觀開朗，觀光察到他喜怒哀樂的細節，也希望你跟他相處時多注意小細節。而且，只要你帶他去吃吃喝喝，到處玩樂，他就最開心。同時，希望你能夠記住他的喜好，隨時能帶給他驚喜，為平淡枯燥的生活，帶來一些儀式感及小情趣。
食神 -但是你,但是，你做事會顯得比較怠慢，重視享受，懶得去辯與人爭吵。同時，你會比較慢半拍，凡事都會再三考慮，沒有按照你的想法去走就悶悶不樂。你想法清高又自負，生性也比較軟弱。你太理想化，也不付出踏踏實實的努力，總是在不同的理想中變換，想一套做一套，再加上三分鐘熱度，很容易讓他懷疑你的可靠性。
食神 -你欣賞,你欣賞他的態度，不管做什麼事情都會有長遠的眼光，去計劃或實行。他跟你在一起的時候會有樂觀開朗的一面，對你也心思細膩，對待感情也比較豐富。而且，他重視跟你的生活情趣，會帶你吃吃喝喝，也會製造浪漫氛圍，多多少少你很吃儀式感這一套，你對於他的用心，會感動。
食神 -你希望,你希望他帶著你享受生活，更懂得生活情趣的互動，對你的態度更樂觀開朗，觀察到你喜怒哀樂的細節，也希望你跟他相處時多注意小細節。而且，只要你他帶你去吃吃喝喝，到處玩樂，你就最開心。同時，希望他能夠記住你的喜好，隨時能帶給你驚喜，為平淡枯燥的生活，帶來一些儀式感及小情趣。
食神 -但是他,但是，他做事會顯得比較怠慢，重視享受，懶得去辯與人爭吵。他會越來越自負，也不喜歡受到束縛，也是容易內心空虛孤獨。同時，他會比較慢半拍，凡事都會再三考慮，沒有按照他的想法去走就悶悶不樂。他想法清高又自負，生性也比較軟弱。他太理想化，也不付出踏踏實實的努力，總是在不同的理想中變換，想一套做一套，再加上三分鐘熱度，很容易讓你懷疑他的可靠性。
傷官 -他欣賞,他欣賞你比較口才比較好，也會有大膽的想法，是個有能力的女人，也表現的滿滿的活力跟鬥志。同時，你也會顯得感性及會撒嬌，說話讓他很歡喜。但是，你也是個說話常常帶刺，一針見血，說話很常傷害到他，也不服輸，做人太過自信，任性恣意，傲慢，處事圓融性低。但是，他都可以包容跟接受。
傷官 -他希望,他希望你在生活中裡可以有滿滿的活力跟鬥志，多一些大膽想法，做人要有自信心，也不要低頭認輸沒鬥志。他希望你可以聰明一些，至少能理解他所說的話，而不是一直問他為什麼，或是沒回應。他需要一個脾氣好也包容他任性的伴侶，聽話照作準沒錯。對他來說，你顯得很笨，他不喜歡笨的情人，他喜歡的是能跟他一起討論事情的聰明又有智慧的情人。如果，他真的受不了「你很笨」「為什麼要跟你解釋很多你才明白」，會產生厭倦，笨是致命點，他很快就會對你沒興趣。
傷官 -但是你,但是，你也是個說話常常帶刺，一針見血，說話很常傷害到他，也不服輸，做人太過自信，對於生活細節喜歡吹毛求疵，侍寵而嬌。你要知道沒有人喜歡被酸言酸語的，你講的是事實沒錯，但是講出來對感情只有破壞，沒有加分，為什麼還要執意要講呢？你說話像一把刀，斬下去就會片體麟傷，不要為了爭贏，而講出讓自己後悔的話。
傷官 -你欣賞,你欣賞他口才比較好，也會有大膽的想法，不服輸，也認為自己沒有什麼得不到，或做不到的事，滿滿的活力跟鬥志，所以有時候會比較搶風頭。但是，他也是個說話常常帶刺，一針見血，說話很常傷害到你，也不服輸，做人太過自信，帶點任性，傲慢，處事圓融性低。但是，你也是會接受以及包容他。
傷官 -你希望,你希望他能夠有滿滿的活力跟鬥志，多一些大膽想法，做人要有自信心，也不要低頭認輸沒鬥志，能馬上解決你的問題會更好。你希望他可以聰明一些，至少能理解你所說的話，而不是一直問他為什麼，或是沒回應。對你來說，他顯得很笨，你不喜歡笨的人，你喜歡的是能跟他一起討論事情，是個聰明又有才智的人。
